1oaiA00 1.10.8.10.1 A.1-59
3frhA01 1.10.8.10.2 A.1-58
4g3oA00 1.10.8.10.3 A.6-58
4heoA00 1.10.8.10.4 A.2-56
1oksA00 1.10.8.10.5 A.2-55
4wp2F00 1.10.8.10.6 F.4-59
4f2lA00 1.10.8.10.7 A.1-61
1zv1A00 1.10.8.10.8 A.6-64
2qhoD00 1.10.8.10.9 D.1-49
4un2B00 1.10.8.10.10 B.2-44
1cukA03 1.10.8.10.11 A.156-203
1t6oA00 1.10.8.10.12 A.2-50
2ooaA00 1.10.8.10.13 A.11-52
1p3qQ00 1.10.8.10.14 Q.1-47
3lcvB01 1.10.8.10.15 B.15-71
3bbzA00 1.10.8.10.16 A.2-49
3k9oA02 1.10.8.10.17 A.159-201
3e21A00 1.10.8.10.18 A.3-42
2ztdA03 1.10.8.10.19 A.162-211
3fe3A03 1.10.8.10.20 A.286-327
3mmpA01 1.10.8.10.21 A.4-56
2qsfX02 1.10.8.10.22 X.83-168
1xb2B01 1.10.8.10.23 B.1-60
3t6pA02 1.10.8.10.24 A.113-178
3ihpA05 1.10.8.10.25 A.704-769
2h5xA03 1.10.8.10.26 A.134-195
3ihpB05 1.10.8.10.27 B.717-787
1a5tA02 1.10.8.10.28 A.168-207
1xmkA00 1.10.10.10.1 A.1-79
4co8A00 1.10.10.10.2 A.2-99
3iwfB00 1.10.10.10.3 B.2-102
1r7jA00 1.10.10.10.4 A.3-92
2fq3A00 1.10.10.10.5 A.17-101
5it3A00 1.10.10.10.6 A.1-85
5hdkC00 1.10.10.10.7 C.5-110
1i27A00 1.10.10.10.8 A.1-73
1s29A00 1.10.10.10.9 A.1-92
6el8A00 1.10.10.10.10 A.2-95
6c5bA01 1.10.10.10.11 A.10-92
4uhtA00 1.10.10.10.12 A.1-102
4rayA01 1.10.10.10.13 A.1-86
1fp2A01 1.10.10.10.14 A.8-103
1y0uA00 1.10.10.10.15 A.1-89
3l00A02 1.10.10.10.16 A.89-178
1ucrB00 1.10.10.10.17 B.1-75
5x12A01 1.10.10.10.18 A.2-98
3f6vA00 1.10.10.10.19 A.48-143
1zarA01 1.10.10.10.20 A.2-90
3rjpA00 1.10.10.10.21 A.1-96
4nb5B01 1.10.10.10.22 B.13-97
2zcwA02 1.10.10.10.23 A.118-199
6exmB02 1.10.10.10.24 B.139-239
5kvrA00 1.10.10.10.25 A.1-77
2od5A00 1.10.10.10.26 A.7-97
1kgsA02 1.10.10.10.27 A.123-225
5d6eA02 1.10.10.10.28 A.265-344
4lmyA01 1.10.10.10.29 A.1-95
6d57A01 1.10.10.10.30 A.9-100
2v9vA02 1.10.10.10.31 A.61-129
2htsA00 1.10.10.10.32 A.1-92
2f2eA01 1.10.10.10.33 A.14-104
3m1eA00 1.10.10.10.34 A.1-87
5l87A00 1.10.10.10.35 A.8-69
4k2eB00 1.10.10.10.36 B.18-109
3fxqB01 1.10.10.10.37 B.1-90
3e6cC02 1.10.10.10.38 C.148-233
4bhbA02 1.10.10.10.39 A.71-156
2pmuC00 1.10.10.10.40 C.9-107
5dcmA00 1.10.10.10.41 A.129-225
2qvoA00 1.10.10.10.42 A.5-91
3gwzA01 1.10.10.10.43 A.31-119
5za3B00 1.10.10.10.44 B.1-100
2xigA01 1.10.10.10.45 A.1-93
3la7B02 1.10.10.10.46 B.150-236
2p5kA00 1.10.10.10.47 A.2-64
2ip2A01 1.10.10.10.48 A.5-88
1dp7P00 1.10.10.10.49 P.1-76
3tduD00 1.10.10.10.50 D.2-77
3f6oB00 1.10.10.10.51 B.6-96
3l2cA00 1.10.10.10.52 A.20-104
4x6gB01 1.10.10.10.53 B.3-91
1hw1A01 1.10.10.10.54 A.5-79
1yo5C00 1.10.10.10.55 C.9-96
2hztC00 1.10.10.10.56 C.2-98
4zyeA02 1.10.10.10.57 A.81-164
5trdA01 1.10.10.10.58 A.7-90
2obpA00 1.10.10.10.59 A.13-93
5cvvB01 1.10.10.10.60 B.16-118
1r1tA00 1.10.10.10.61 A.24-121
5hs7B00 1.10.10.10.62 B.2-99
1sfxB00 1.10.10.10.63 B.3-106
1t6sA01 1.10.10.10.64 A.1-86
1mzbA01 1.10.10.10.65 A.3-85
2vooB01 1.10.10.10.66 B.8-89
5xncA01 1.10.10.10.67 A.21-103
3b02A02 1.10.10.10.68 A.111-195
1b9mB01 1.10.10.10.69 B.3-110
5iceA01 1.10.10.10.70 A.1-101
4e70A01 1.10.10.10.71 A.21-127
4hw0C00 1.10.10.10.72 C.8-100
3elkB00 1.10.10.10.73 B.8-111
4i2oA02 1.10.10.10.74 A.156-235
4esjA02 1.10.10.10.75 A.168-257
1u2wD00 1.10.10.10.76 D.11-118
1pueF00 1.10.10.10.77 F.1-89
2esnA01 1.10.10.10.78 A.5-93
3c7jA01 1.10.10.10.79 A.1-91
2a07J00 1.10.10.10.80 J.1-83
4gggA00 1.10.10.10.81 A.10-101
4r8hB02 1.10.10.10.82 B.151-221
1rz4A02 1.10.10.10.83 A.123-216
3keoA01 1.10.10.10.84 A.6-77
4hlyA00 1.10.10.10.85 A.25-130
5eehB01 1.10.10.10.86 B.33-129
4cydB02 1.10.10.10.87 B.146-225
2oqgC00 1.10.10.10.88 C.5-109
3m8eB00 1.10.10.10.89 B.24-116
5dymA00 1.10.10.10.90 A.18-114
6fuuA00 1.10.10.10.91 A.5-108
2rkhA01 1.10.10.10.92 A.7-102
2v9vA01 1.10.10.10.93 A.1-60
3b73B00 1.10.10.10.94 B.2-90
5d4sB00 1.10.10.10.95 B.5-88
3co6C00 1.10.10.10.96 C.5-95
5fo5A00 1.10.10.10.97 A.1-88
4tv7D01 1.10.10.10.98 D.5-93
5jbxA02 1.10.12.10.1 A.202-261
3oc7A02 1.10.12.10.2 A.212-266
3qk8B02 1.10.12.10.3 B.211-266
3qxzA02 1.10.12.10.4 A.205-264
3mybB02 1.10.12.10.5 B.224-280
1vq8W02 1.10.15.30.1 W.58-113
4cayB00 1.10.20.10.1 B.6-97
4csrA00 1.10.20.10.2 A.7-94
