3h4jA03 1.10.8.10.29 A.276-331
2hwjA02 1.10.8.10.30 A.135-195
3ihpB04 1.10.8.10.31 B.652-699
1tr8A02 1.10.8.10.32 A.63-101
4dbgB02 1.10.8.10.33 B.55-115
1g4aE02 1.10.8.10.34 E.110-243
1ixsA00 1.10.8.10.35 A.13-62
1nv8B01 1.10.8.10.36 B.15-87
1bvsF03 1.10.8.10.37 F.148-199
1im2A02 1.10.8.10.38 A.110-244
1g41A02 1.10.8.10.39 A.110-244
4gewA01 1.10.8.10.40 A.21-115
5ji2E02 1.10.8.10.41 E.116-249
1kyiS02 1.10.8.10.42 S.110-244
2b3tA01 1.10.8.10.43 A.1-84
1g3iW02 1.10.8.10.44 W.110-244
1q02A00 1.10.8.10.45 A.1-52
2jy5A00 1.10.8.10.46 A.1-52
2lvnC00 1.10.8.10.47 C.1-52
2mgwA00 1.10.8.10.48 A.1-52
1r4gA00 1.10.8.10.49 A.1-53
2knaA01 1.10.8.10.50 A.22-75
1ifyA00 1.10.8.10.51 A.1-49
1otrA00 1.10.8.10.52 A.1-49
1tteA02 1.10.8.10.53 A.159-215
2jp7A00 1.10.8.10.54 A.1-57
2l4eA00 1.10.8.10.55 A.3-59
1pgyA00 1.10.8.10.56 A.1-47
2ekkA00 1.10.8.10.57 A.1-47
2gauA02 1.10.10.10.99 A.152-232
3mczA01 1.10.10.10.100 A.24-105
3to7A03 1.10.10.10.101 A.182-262
1xgsA02 1.10.10.10.102 A.195-271
1in4A02 1.10.10.10.103 A.256-328
4jqfA02 1.10.10.10.104 A.107-179
3szpA01 1.10.10.10.105 A.1-89
4mhgA01 1.10.10.10.106 A.12-100
2ns0A00 1.10.10.10.107 A.2-85
2zkzC00 1.10.10.10.108 C.10-96
4g6qA01 1.10.10.10.109 A.6-92
3gw2A00 1.10.10.10.110 A.7-99
3mq0A01 1.10.10.10.111 A.20-98
1t0fA02 1.10.10.10.112 A.172-270
3bz6A01 1.10.10.10.113 A.16-105
1on2A01 1.10.10.10.114 A.2-73
