6b5cA02 1.10.8.60.22 A.198-283
3bosA02 1.10.8.60.23 A.176-242
1w5sA01 1.10.8.60.24 A.7-16,216-293
4lcbA02 1.10.8.60.25 A.269-364
1njgB01 1.10.8.60.26 B.12-18,185-250
4l4uA03 1.10.8.60.27 A.320-392
3zh9B02 1.10.8.60.28 B.144-213
1fnnA01 1.10.8.60.29 A.2-18,193-276
2x8aA02 1.10.8.60.30 A.178-268
4qhsA02 1.10.8.60.31 A.189-260
5ftjA04 1.10.8.60.32 A.372-466
3pvsA02 1.10.8.60.33 A.165-240
2qz4A02 1.10.8.60.34 A.177-253
2chgA02 1.10.8.60.35 A.161-226
1njgA02 1.10.8.60.36 A.185-250
1r6bX05 1.10.8.60.37 X.653-751
3uk6A02 1.10.8.60.38 A.259-341
3b9pA02 1.10.8.60.39 A.189-272
1jqjD03 1.10.8.60.40 D.143-231
3whkA02 1.10.8.60.41 A.188-259
1um8A02 1.10.8.60.42 A.272-368
1jr3D03 1.10.8.60.43 D.143-213
2xszD02 1.10.8.60.44 D.278-368
1im2A03 1.10.8.60.45 A.336-433
3sykA02 1.10.8.60.46 A.203-295
1sxjA02 1.10.8.60.47 A.209-280
1sxjD02 1.10.8.60.48 D.193-262
5ftnA06 1.10.8.60.49 A.647-747
1sxjC02 1.10.8.60.50 C.170-238
5xxuK00 1.10.10.10.393 K.7-100
4yifF00 1.10.10.10.394 F.27-162
3kloA02 1.10.10.10.395 A.151-218
4eqqA02 1.10.10.10.396 A.60-107
2zo4A02 1.10.10.10.397 A.262-317
2nraC02 1.10.10.10.398 C.167-268
5fgmA00 1.10.10.10.399 A.5-69
1ldjA07 1.10.10.10.400 A.656-760
2a61B00 1.10.10.10.401 B.4-144
2fbhA00 1.10.10.10.402 A.10-146
2xubA04 1.10.10.10.403 A.338-428
1p4xA01 1.10.10.10.404 A.1-127
3dptB01 1.10.10.10.405 B.15-83
4b09B02 1.10.10.10.406 B.142-239
2hoeA01 1.10.10.10.407 A.22-83
2ia0A01 1.10.10.10.408 A.14-67
3e3vA02 1.10.10.10.409 A.66-110
4rgxB00 1.10.10.10.410 B.14-155
1u3eM02 1.10.10.10.411 M.107-174
2a6hF02 1.10.10.10.412 F.260-313
2cg4A01 1.10.10.10.413 A.4-57
1ev7B02 1.10.10.10.414 B.177-309
3i4pA01 1.10.10.10.415 A.2-53
3d5lA03 1.10.10.10.416 A.154-205
1u5tB01 1.10.10.10.417 B.11-95
3bddD00 1.10.10.10.418 D.3-142
3u1dB00 1.10.10.10.419 B.8-150
1pdnC02 1.10.10.10.420 C.70-124
2qwwC00 1.10.10.10.421 C.7-152
2isyA01 1.10.10.10.422 A.2-139
1ldjA06 1.10.10.10.423 A.588-655
5uagF02 1.10.10.10.424 F.452-529
2x4hA00 1.10.10.10.425 A.11-139
3u2rA00 1.10.10.10.426 A.12-149
