2z4sA02 1.10.8.60.51 A.264-335
1sxjE02 1.10.8.60.52 E.194-257
3te6A02 1.10.8.60.53 A.198-317
3u61C02 1.10.8.60.54 C.167-233
3mhvC00 1.10.8.60.55 C.1-117
2v1uA01 1.10.8.60.56 A.1-20,201-287
1l8qA02 1.10.8.60.57 A.167-215
2qbyB01 1.10.8.60.58 B.7-21,197-283
3u60E02 1.10.8.60.59 E.167-225
2v6zM00 1.10.8.60.60 M.25-99
2ja2A04 1.10.8.70.1 A.336-387
1j09A04 1.10.8.70.2 A.323-370
3afhA04 1.10.8.70.3 A.333-382
2cfoA04 1.10.8.70.4 A.327-380
4griA04 1.10.8.70.5 A.352-404
2r44A03 1.10.8.80.1 A.209-326
1e9rA02 1.10.8.80.2 A.115-227
1g8pA02 1.10.8.80.3 A.261-350
3futA02 1.10.8.100.1 A.204-268
3ftdA02 1.10.8.100.2 A.185-247
3uzuA02 1.10.8.100.3 A.211-279
3gruA02 1.10.8.100.4 A.207-292
3tqsA02 1.10.8.100.5 A.191-255
4jxjA02 1.10.8.100.6 A.212-276
1qamA02 1.10.8.100.7 A.135-148,181-244
4gc5A02 1.10.8.100.8 A.239-328
1i4wA02 1.10.8.100.9 A.263-337
5oy0600 1.10.8.110.1 6.1-143
1jb0F00 1.10.8.110.2 F.24-164
2sttA00 1.10.10.10.491 A.1-96
1d8jA00 1.10.10.10.492 A.1-81
1v4rA01 1.10.10.10.493 A.12-90
2hgcA00 1.10.10.10.494 A.5-82
2mlgA00 1.10.10.10.495 A.3-79
2cqkA00 1.10.10.10.496 A.1-101
1tnsA00 1.10.10.10.497 A.1-76
2dceA01 1.10.10.10.498 A.26-101
2eljA01 1.10.10.10.499 A.11-85
2mc3A00 1.10.10.10.500 A.7-109
2k4jA00 1.10.10.10.501 A.11-115
2ysrA00 1.10.10.10.502 A.1-105
2hqrA02 1.10.10.10.503 A.118-223
1bbyA00 1.10.10.10.504 A.1-69
4bxuA00 1.10.10.10.505 A.1-69
1j9iA00 1.10.10.10.506 A.1-68
2cujA01 1.10.10.10.507 A.41-108
2dk5A01 1.10.10.10.508 A.19-84
2elhA01 1.10.10.10.509 A.14-79
2rn7A01 1.10.10.10.510 A.1-66
2dk8A01 1.10.10.10.511 A.10-74
2jtvA00 1.10.10.10.512 A.1-65
2mh2A00 1.10.10.10.513 A.11-74
1oyiA00 1.10.10.10.514 A.13-74
2m1bA00 1.10.10.10.515 A.1-116
2nriB00 1.10.10.10.516 B.9-100
2htjA01 1.10.10.10.517 A.1-60
2lkpA00 1.10.10.10.518 A.1-119
1wi9A01 1.10.10.10.519 A.7-64
1v3fA00 1.10.10.10.520 A.1-120
2m8eA00 1.10.10.10.521 A.1-57
1s6lA01 1.10.10.10.522 A.25-76
4bpe700 1.10.10.10.523 7.2-102
2xzmT00 1.10.10.10.524 T.6-155
1oisA01 1.10.10.41.1 A.20-111
2b9sA02 1.10.10.41.2 A.37-123
3a02A00 1.10.10.60.1 A.5-55
6j4kA00 1.10.10.60.2 A.1-60
3sjmA00 1.10.10.60.3 A.10-64
3zqiA01 1.10.10.60.4 A.4-66
4xrmA00 1.10.10.60.5 A.4-62
4mloA03 1.10.10.60.6 A.212-272
6a8rA00 1.10.10.60.7 A.2-59
2iaiA01 1.10.10.60.8 A.13-81
3rkqA00 1.10.10.60.9 A.1-58
4jykA01 1.10.10.60.10 A.12-69
2hxiA01 1.10.10.60.11 A.28-91
1gvdA00 1.10.10.60.12 A.1-52
3a03A00 1.10.10.60.13 A.4-56
3cmyA00 1.10.10.60.14 A.1-60
3oouA01 1.10.10.60.15 A.4-58
3osgA01 1.10.10.60.16 A.2-62
2hosB00 1.10.10.60.17 B.5-62
2cjjA00 1.10.10.60.18 A.8-70
4jykB01 1.10.10.60.19 B.17-69
1k61A00 1.10.10.60.20 A.1-60
2i10A01 1.10.10.60.21 A.12-66,115-119
4l5eA00 1.10.10.60.22 A.1-46
4rduA01 1.10.10.60.23 A.11-65
1u8bA02 1.10.10.60.24 A.72-132
2eh3A01 1.10.10.60.25 A.2-50
1jggA00 1.10.10.60.26 A.3-59
5nioA01 1.10.10.60.27 A.22-67
1ofcX02 1.10.10.60.28 X.109-163
3oouA02 1.10.10.60.29 A.59-108
2optB01 1.10.10.60.30 B.4-66
4w97A01 1.10.10.60.31 A.3-51
2d5vA02 1.10.10.60.32 A.100-155
5eeaB00 1.10.10.60.33 B.1-61
3e7lA00 1.10.10.60.34 A.4-63
4iejA00 1.10.10.60.35 A.14-88
3qqaA01 1.10.10.60.36 A.12-70
1bl0A02 1.10.10.60.37 A.65-124
3dewA01 1.10.10.60.38 A.8-59
6azhA01 1.10.10.60.39 A.5-54
2id3A01 1.10.10.60.40 A.35-83
5ojxA01 1.10.10.60.41 A.15-88
2fd5A01 1.10.10.60.42 A.1-48
2np3B01 1.10.10.60.43 B.22-82
3lsgA01 1.10.10.60.44 A.1-55
1rktA01 1.10.10.60.45 A.2-54
2y30B01 1.10.10.60.46 B.8-82
5gp9A01 1.10.10.60.47 A.2-49
1w0tA00 1.10.10.60.48 A.1-52
3bqyA01 1.10.10.60.49 A.3-56
1gv2A02 1.10.10.60.50 A.57-102
1au7A02 1.10.10.60.51 A.89-145
4cycB00 1.10.10.60.52 B.7-64
4a69D00 1.10.10.60.53 D.22-89
1b8iA00 1.10.10.60.54 A.7-79
1hlvA02 1.10.10.60.55 A.72-131
6el2B01 1.10.10.60.56 B.13-61
2fq4A01 1.10.10.60.57 A.9-55
5zjtE00 1.10.10.60.58 E.21-78
1bl0A01 1.10.10.60.59 A.9-64
2nogB02 1.10.10.60.60 B.90-159
3d1nL02 1.10.10.60.61 L.85-146
3c2bA01 1.10.10.60.62 A.14-65
1twfJ00 1.10.10.60.63 J.1-65
1jxzC02 1.10.12.10.23 C.205-269
4og1A02 1.10.12.10.24 A.233-290
4nekA02 1.10.12.10.25 A.197-252
4k3wB02 1.10.12.10.26 B.236-292
1h3oB00 1.10.20.10.31 B.3-76
1f1eA00 1.10.20.10.32 A.4-154
2bykA00 1.10.20.10.33 A.29-100
1wwiA00 1.10.20.10.34 A.2-148
1kx5A00 1.10.20.10.35 A.1-135
3v9rB00 1.10.20.10.36 B.2-84
2crjA00 1.10.30.10.14 A.1-92
2cs1A00 1.10.30.10.15 A.1-92
3oceA03 1.10.40.30.12 A.411-465
1q5nA03 1.10.40.30.13 A.366-446
1jswB03 1.10.40.30.14 B.411-460
3js8A04 1.10.45.10.3 A.491-540
2p0tA02 1.10.60.30.2 A.101-172
1tgrA00 1.10.100.10.1 A.1-52
4g54A02 1.10.101.10.2 A.133-204
1hssA00 1.10.110.10.6 A.5-124
1beaA00 1.10.110.10.7 A.5-120
4qclA05 1.10.132.60.3 A.742-909
1tgoA05 1.10.132.60.4 A.607-773
4ahcA05 1.10.132.60.5 A.589-757
3nrwA00 1.10.150.130.1 A.4-107
4acoA01 1.10.150.130.2 A.44-168
1xo0A01 1.10.150.130.3 A.1-111
2oxoA00 1.10.150.130.4 A.1-93
3lysD00 1.10.150.130.5 D.4-110
1a0pA01 1.10.150.130.6 A.1-98
2a3vB01 1.10.150.130.7 B.1-94
4a8eA01 1.10.150.130.8 A.9-95
2keyA00 1.10.150.130.9 A.1-112
2khqA01 1.10.150.130.10 A.1-102
2kj5A00 1.10.150.130.11 A.1-116
2kkpA00 1.10.150.130.12 A.1-117
2kd1A00 1.10.150.130.13 A.1-118
2kj8A00 1.10.150.130.14 A.1-118
2kj9A00 1.10.150.130.15 A.1-118
