1h6uA01 1.10.8.390.1 A.1-43
1nhwC00 1.10.8.400.1 C.1-60
3vdpA01 1.10.8.420.1 A.16-67
1vddB01 1.10.8.420.2 B.2-53
1z6tA03 1.10.8.430.1 A.285-365
3hhwA00 1.10.8.440.1 A.15-87
1xhbA02 1.10.8.460.1 A.273-338
1wxqA02 1.10.8.470.1 A.126-215
2h1rA02 1.10.8.480.1 A.201-297
2a5yB03 1.10.8.490.1 B.291-370
2y0tA00 1.10.8.500.1 A.2-53
4i5sA01 1.10.8.500.2 A.37-101
3fd9A01 1.10.8.520.1 A.17-88
2kebA00 1.10.8.530.1 A.24-101
2x49A03 1.10.8.540.1 A.145-234
2ynmD04 1.10.8.550.1 D.479-528
2l09A01 1.10.8.550.2 A.3-54
2w82A02 1.10.8.560.1 A.62-103
2eucA00 1.10.8.570.1 A.2-113
3ilkA02 1.10.8.590.1 A.174-241
4xboB02 1.10.8.590.2 B.166-240
2bnkA00 1.10.8.600.1 A.3-66
3dfzA02 1.10.8.610.1 A.149-222
2xepA03 1.10.8.620.1 A.272-324
2hl7A00 1.10.8.640.1 A.1-82
2l6oA02 1.10.8.650.1 A.73-114
3qauA03 1.10.8.660.1 A.407-457
3qwlA02 1.10.8.680.1 A.81-157
3u61A03 1.10.8.700.1 A.116-186
1x58A01 1.10.10.60.163 A.11-58
1xc5A01 1.10.10.60.164 A.24-71
1wgxA00 1.10.10.60.165 A.1-73
2e19A01 1.10.10.60.166 A.11-57
1s7eA02 1.10.10.60.167 A.74-147
2da5A00 1.10.10.60.168 A.1-75
2cobA01 1.10.10.60.169 A.14-57
1iufA01 1.10.10.60.170 A.1-77
2llkA01 1.10.10.60.171 A.27-67
1wh5A00 1.10.10.60.172 A.1-80
2k9qA01 1.10.10.60.173 A.1-40
2jn6A01 1.10.10.60.174 A.7-91
1ntcA00 1.10.10.60.175 A.1-91
2k9sA00 1.10.10.60.176 A.1-107
5b1aH00 1.10.10.140.1 H.7-85
3lfuA02 1.10.10.160.1 A.114-187
4c2uA02 1.10.10.160.2 A.113-196
1pjrA02 1.10.10.160.3 A.116-190
1uaaA02 1.10.10.160.4 A.108-181
1w36F02 1.10.10.160.5 F.86-185
2z16A02 1.10.10.180.1 A.87-164
4iq4E03 1.10.10.180.2 E.366-441
1erdA00 1.10.10.190.1 A.1-40
1ha8A00 1.10.10.190.2 A.1-51
1k6yA01 1.10.10.200.1 A.1-46
1mw7A01 1.10.10.200.2 A.21-78
3hphB01 1.10.10.200.3 B.1-58
3hphD01 1.10.10.200.4 D.3-43
1konA01 1.10.10.200.5 A.6-84
1vq8I00 1.10.10.250.1 I.67-136
2nxnB02 1.10.10.250.2 B.71-139
5oomJ02 1.10.10.250.3 J.84-157
4hubI02 1.10.10.250.4 I.71-157
1vx4K02 1.10.10.250.5 K.76-163
2ja2A05 1.10.10.350.1 A.388-485
1j09A05 1.10.10.350.2 A.371-468
3afhA05 1.10.10.350.3 A.383-487
2cfoA05 1.10.10.350.4 A.381-484
4griA05 1.10.10.350.5 A.405-511
1irxA05 1.10.10.350.6 A.431-523
5tgtA02 1.10.10.350.7 A.379-501
1sauA02 1.10.10.370.1 A.46-115
2p0wA03 1.10.10.390.1 A.271-324
4pswA03 1.10.10.390.2 A.264-317
3h36A00 1.10.10.400.1 A.8-85
3u1kA02 1.10.10.400.2 A.240-325
1e3pA02 1.10.10.400.3 A.280-362
3gcmA02 1.10.10.400.4 A.240-319
4aidA02 1.10.10.400.5 A.254-335
1ng6A02 1.10.10.410.1 A.92-148
3ip4B03 1.10.10.410.2 B.412-476
