3vkgB04 1.10.8.710.1 B.739-869
4akgA06 1.10.8.710.2 A.779-885
3vkgA18 1.10.8.720.1 A.2754-2926
4akgA16 1.10.8.720.2 A.2503-2667
4ag6A02 1.10.8.730.1 A.102-222
4akgA13 1.10.8.740.1 A.2123-2141,2218-2293
4lgyA02 1.10.8.750.1 A.163-224
2g5gX02 1.10.8.760.1 X.144-202
2eo2A00 1.10.8.770.1 A.1-71
2j7nA02 1.10.8.790.1 A.24-103
2kxeA00 1.10.8.800.1 A.4-75
5grqA00 1.10.8.810.1 A.1-90
4gmqA00 1.10.8.840.1 A.12-103
2lwxA00 1.10.8.840.2 A.21-108
2lxeA01 1.10.8.850.1 A.34-102
2m5zA00 1.10.8.860.1 A.2-44
2qcuA03 1.10.8.870.1 A.391-461
2rgoB03 1.10.8.870.2 B.474-607
3da1A03 1.10.8.870.3 A.414-549
2r18A02 1.10.8.880.1 A.80-138
2xljA02 1.10.8.890.1 A.111-134
2yqzA02 1.10.8.900.1 A.147-169,204-248
3ctwB00 1.10.8.930.1 B.17-147
3d8lA00 1.10.8.940.1 A.1-91
3fkeA01 1.10.8.950.1 A.7-77
4gh9A01 1.10.8.950.2 A.25-94
6dkuA01 1.10.8.950.3 A.4-76
3ig5A04 1.10.8.960.1 A.608-673
6co8B00 1.10.8.970.1 B.1-75
1r71A01 1.10.10.730.1 A.23-78
1xtaA02 1.10.10.740.1 A.181-221
2cq7A00 1.10.10.740.2 A.1-49
3qwlA01 1.10.10.750.1 A.22-80
4nc6A01 1.10.10.750.2 A.4-47
2qq8A01 1.10.10.750.3 A.15-33,37-64
2bhyA03 1.10.10.760.1 A.454-494
1irxA04 1.10.10.770.1 A.318-430
4dgwB01 1.10.10.790.1 B.4-27,41-66
2dt6A01 1.10.10.790.2 A.1-59
2dt7B01 1.10.10.790.3 B.27-85
1x4pA00 1.10.10.790.4 A.1-66
1x4oA00 1.10.10.790.5 A.1-78
2hdwA02 1.10.10.800.1 A.206-296
1lvkA03 1.10.10.820.1 A.276-335
2mysA03 1.10.10.820.2 A.283-342
1lkxA02 1.10.10.820.3 A.197-254
1qu3A03 1.10.10.830.1 A.466-521
1dgwY01 1.10.10.840.1 Y.46-83
1dquA02 1.10.10.850.1 A.255-363
1or7C00 1.10.10.880.1 C.1-66
2wbmA02 1.10.10.900.1 A.108-182
2kdoA02 1.10.10.900.2 A.100-172
1pyvA00 1.10.10.910.1 A.2-54
1oltA02 1.10.10.920.1 A.364-444
5yghA00 1.10.10.930.1 A.4-76
1sfkH00 1.10.10.930.2 H.18-75
1r6rA00 1.10.10.930.3 A.21-100
1v5eA04 1.10.10.940.1 A.543-590
1u0jA01 1.10.10.950.1 A.1-55
6e3aA01 1.10.10.970.1 A.3-78
4jqfA01 1.10.10.980.1 A.1-106
1w36C06 1.10.10.990.1 C.864-935
1z21A00 1.10.10.1000.1 A.5-108
2cw8A02 1.10.10.1010.1 A.128-273
1w36D01 1.10.10.1020.1 D.2-110
3dteA02 1.10.10.1030.1 A.146-186
2qklB00 1.10.10.1050.1 B.2-91
2a6tB01 1.10.10.1050.2 B.40-98
1ye9A03 1.10.10.1060.1 A.132-188
2bw3A01 1.10.10.1070.1 A.12-67
2bw3B01 1.10.10.1070.2 B.12-84
3keyA01 1.10.10.1080.1 A.3-89
6e6qA00 1.10.10.1100.1 A.1-56
2hu9A02 1.10.10.1100.2 A.62-130
1y56A04 1.10.10.1100.3 A.397-473
3ll7A01 1.10.10.1110.1 A.7-78
3hc7A02 1.10.10.1120.1 A.176-237
2kp6A00 1.10.10.1130.1 A.4-82
3sdbA03 1.10.10.1140.1 A.558-680
3g2bA00 1.10.10.1150.1 A.6-95
2ch0A01 1.10.10.1180.1 A.1-98
2w82A03 1.10.10.1190.1 A.104-165
2wa0A01 1.10.10.1200.1 A.9-114
3nw0B01 1.10.10.1200.2 B.1-84
2wa0A02 1.10.10.1210.1 A.117-235
2wadB03 1.10.10.1230.1 B.84-186
3vskA02 1.10.10.1230.2 A.43-182
4nc7A00 1.10.10.1250.1 A.3-81
2f4iA01 1.10.10.1260.1 A.19-40,108-146
2gomA00 1.10.10.1270.1 A.1-61
2wy7Q00 1.10.10.1270.2 Q.12-77
2vqgA00 1.10.10.1280.1 A.13-88
2zshB00 1.10.10.1290.1 B.23-88
4mloA02 1.10.10.1310.1 A.165-211
4nqwB00 1.10.10.1320.1 B.7-79
3hugJ00 1.10.10.1320.2 J.24-87
2q1zD01 1.10.10.1320.3 D.2-101
5ui5I01 1.10.10.1330.1 I.17-86
3fbiD00 1.10.10.1340.1 D.17-110
2mabA00 1.10.10.1350.1 A.1-109
2mfzA01 1.10.10.1350.2 A.17-125
3a2kA02 1.10.10.1360.1 A.126-154,165-216
3iuoA00 1.10.10.1390.1 A.11-119
4zc3A00 1.10.10.1400.1 A.6-62
3a1yA00 1.10.10.1410.1 A.1-58
4behB01 1.10.10.1410.2 B.1-61
4behA01 1.10.10.1410.3 A.1-64
3a4cA00 1.10.10.1420.1 A.1-106
2kloA00 1.10.10.1420.2 A.1-138
2w4sA00 1.10.10.1440.1 A.4-92
4u7bA01 1.10.10.1450.1 A.1-51
2kmuA00 1.10.10.1460.1 A.1-56
2vqcA00 1.10.10.1470.1 A.10-79
3dkxA02 1.10.10.1480.1 A.137-204
2vxzA02 1.10.10.1490.1 A.71-157
4bxfA02 1.10.10.1500.1 A.241-303
4ccjA02 1.10.10.1500.2 A.247-310
3n05A03 1.10.10.1510.1 A.510-585
2xf7A00 1.10.10.1530.1 A.3-50
2krhA00 1.10.10.1540.1 A.1-85
2l2oA00 1.10.10.1540.2 A.1-85
2jspA01 1.10.10.1550.1 A.7-63
2cs3A01 1.10.10.1580.1 A.30-88
3i9v201 1.10.10.1590.1 2.3-74
2hnhA03 1.10.10.1600.1 A.433-510
5lewA03 1.10.10.1600.2 A.451-531
2e1mC02 1.10.10.1620.1 C.104-153
3c2gA02 1.10.10.1630.1 A.552-619
3sllA02 1.10.12.10.35 A.230-290
4jylA02 1.10.12.10.36 A.217-265
4di1C02 1.10.12.10.37 C.221-261
4elsC02 1.10.12.10.38 C.223-262
3a1kA01 1.10.20.60.2 A.2-55
3kfuJ01 1.10.20.60.3 J.5-48
3kfuG01 1.10.20.60.4 G.7-44
4wj3C01 1.10.20.60.5 C.9-53
2j8pA00 1.10.20.70.1 A.1-49
2zy4A02 1.10.20.110.1 A.37-161,383-405
